town_code,region_code,ID Provincia,ID Municipio,name,population,census,votes,null_votes,blank_votes,scrutinized,Fecha
01018,14,01,018,Zigoitia,1743,1406,901,19,18,100,Datos de las 23:06 del 24 de Mayo de 2015
01063,14,01,063,Zuia,2427,1805,1294,14,28,100,Datos de las 21:57 del 24 de Mayo de 2015
33001,03,33,001,Allande,1858,1653,1251,17,12,100,Datos de las 23:03 del 24 de Mayo de 2015
33002,03,33,002,Aller,11768,10263,6523,87,110,100,Datos de las 21:54 del 24 de Mayo de 2015
33003,03,33,003,Amieva,758,661,468,10,6,100,Datos de las 21:36 del 24 de Mayo de 2015
33004,03,33,004,Avilés,81659,64728,39451,517,832,"95,45",Datos de las 22:39 del 24 de Mayo de 2015
33005,03,33,005,Belmonte de Miranda,1653,1511,1090,22,17,100,Datos de las 23:57 del 24 de Mayo de 2015
33006,03,33,006,Bimenes,1777,1588,1132,14,17,100,Datos de las 21:36 del 24 de Mayo de 2015
33007,03,33,007,Boal,1709,1549,1074,15,17,100,Datos de las 21:36 del 24 de Mayo de 2015
33008,03,33,008,Cabrales,2097,1859,1391,32,27,100,Datos de las 22:57 del 24 de Mayo de 2015
33009,03,33,009,Cabranes,1075,918,643,10,17,100,Datos de las 21:12 del 24 de Mayo de 2015
33010,03,33,010,Candamo,2108,1846,1274,13,19,100,Datos de las 21:18 del 24 de Mayo de 2015
33012,03,33,012,Cangas de Onís,6678,5315,3638,43,40,100,Datos de las 23:06 del 24 de Mayo de 2015
33011,03,33,011,Cangas del Narcea,13710,11507,6508,111,192,100,Datos de las 23:15 del 24 de Mayo de 2015
33013,03,33,013,Caravia,506,463,371,9,1,100,Datos de las 21:21 del 24 de Mayo de 2015
33014,03,33,014,Carreño,10700,9172,5817,66,124,100,Datos de las 23:48 del 24 de Mayo de 2015
33015,03,33,015,Caso,1704,1595,1051,32,25,100,Datos de las 21:45 del 24 de Mayo de 2015
33016,03,33,016,Castrillón,22816,19354,12026,187,270,100,Datos de las 22:29 del 24 de Mayo de 2015
